plot,plot_id,trt,trt2,inoc_method,concentration,date,total_leaves,symptomatic_leaves,disease_percentage
127,MC25_127,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,7,7,100
128,MC25_128,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,7,7,100
129,MC25_129,dre_10_6,RD_10_6,dre,10_6,7/26/25,6,5,83
130,MC25_130,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,8,6,75
131,MC25_131,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,4,4,100
132,MC25_132,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,6,5,83
133,MC25_133,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,8,7,88
134,MC25_134,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,7,5,71
135,MC25_135,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,8,6,75
136,MC25_136,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,7,2,29
137,MC25_137,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,8,7,88
138,MC25_138,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,8,7,88
139,MC25_139,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,7,5,71
140,MC25_140,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,8,6,75
141,MC25_141,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,8,7,88
142,MC25_142,dre_10_5,RD_10_5,dre,10_5,7/26/25,9,8,89
143,MC25_143,dre_10_7,RD_10_7,dre,10_7,7/26/25,8,6,75
144,MC25_144,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,9,7,78
145,MC25_145,dre_10_7,RD_10_7,dre,10_7,7/26/25,8,6,75
146,MC25_146,dipmod_10_6,SPD_10_6,dipmod,10_6,7/26/25,8,6,75
147,MC25_147,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,8,7,88
148,MC25_148,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,6,5,83
149,MC25_149,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,7,6,86
150,MC25_150,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,8,5,63
151,MC25_151,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,9,8,89
152,MC25_152,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,7,6,86
153,MC25_153,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,8,5,63
154,MC25_154,dre_10_7,RD_10_7,dre,10_7,7/26/25,8,6,75
155,MC25_155,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,6,4,67
156,MC25_156,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,8,6,75
157,MC25_157,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,7,7,100
158,MC25_158,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,10,5,50
159,MC25_159,dre_10_7,RD_10_7,dre,10_7,7/26/25,8,5,63
160,MC25_160,dre_10_6,RD_10_6,dre,10_6,7/26/25,8,5,63
161,MC25_161,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,9,5,56
162,MC25_162,dre_10_5,RD_10_5,dre,10_5,7/26/25,8,0,0
163,MC25_163,dre_10_6,RD_10_6,dre,10_6,7/26/25,8,4,50
164,MC25_164,dre_10_5,RD_10_5,dre,10_5,7/26/25,8,3,38
165,MC25_165,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,7,5,71
166,MC25_166,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,6,3,50
167,MC25_167,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,9,2,22
168,MC25_168,dre_10_7,RD_10_7,dre,10_7,7/26/25,8,2,25
169,MC25_169,dre_10_5,RD_10_5,dre,10_5,7/26/25,8,2,25
170,MC25_170,dre_10_5,RD_10_5,dre,10_5,7/26/25,10,6,60
171,MC25_171,dre_10_6,RD_10_6,dre,10_6,7/26/25,9,5,56
172,MC25_172,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,7,6,86
173,MC25_173,dre_10_6,RD_10_6,dre,10_6,7/26/25,8,7,88
174,MC25_174,dre_10_6,RD_10_6,dre,10_6,7/26/25,8,7,88
175,MC25_175,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,6,4,67
176,MC25_176,dre_10_6,RD_10_6,dre,10_6,7/26/25,8,7,88
177,MC25_177,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,8,6,75
178,MC25_178,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,7,5,71
179,MC25_179,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,9,5,56
180,MC25_180,dre_10_6,RD_10_6,dre,10_6,7/26/25,7,5,71
181,MC25_181,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,8,6,75
182,MC25_182,dre_10_6,RD_10_6,dre,10_6,7/26/25,9,7,78
183,MC25_183,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,8,5,63
184,MC25_184,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,7,0,0
185,MC25_185,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,7,5,71
186,MC25_186,dre_10_5,RD_10_5,dre,10_5,7/26/25,8,5,63
187,MC25_187,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,8,7,88
188,MC25_188,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,9,7,78
189,MC25_189,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,7,5,71
190,MC25_190,dre_10_6,RD_10_6,dre,10_6,7/26/25,7,7,100
191,MC25_191,dre_10_7,RD_10_7,dre,10_7,7/26/25,9,7,78
192,MC25_192,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,9,7,78
193,MC25_193,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,9,7,78
194,MC25_194,dip_original_10_6,ORD_10_6,dip_original,10_6,7/26/25,11,7,64
195,MC25_195,dre_10_6,RD_10_6,dre,10_6,7/26/25,9,7,78
196,MC25_196,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,9,1,11
197,MC25_197,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,10,6,60
198,MC25_198,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,8,7,88
199,MC25_199,dre_10_5,RD_10_5,dre,10_5,7/26/25,8,1,13
200,MC25_200,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,7,6,86
201,MC25_201,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,9,4,44
202,MC25_202,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,9,1,11
203,MC25_203,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,8,5,63
204,MC25_204,dip_original_10_5,ORD_10_5,dip_original,10_5,7/26/25,7,4,57
205,MC25_205,dre_10_7,RD_10_7,dre,10_7,7/26/25,7,6,86
206,MC25_206,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,7,5,71
207,MC25_207,dre_10_5,RD_10_5,dre,10_5,7/26/25,7,1,14
208,MC25_208,dre_10_6,RD_10_6,dre,10_6,7/26/25,7,5,71
209,MC25_209,dre_10_7,RD_10_7,dre,10_7,7/26/25,6,5,83
210,MC25_210,dipmod_10_5,SPD_10_5,dipmod,10_5,7/26/25,7,2,29
211,MC25_211,dip_original_10_7,ORD_10_7,dip_original,10_7,7/26/25,5,3,60
212,MC25_212,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,8,6,75
213,MC25_213,dre_10_5,RD_10_5,dre,10_5,7/26/25,5,3,60
214,MC25_214,dipmod_10_7,SPD_10_7,dipmod,10_7,7/26/25,7,3,43
215,MC25_215,dre_10_5,RD_10_5,dre,10_5,7/26/25,7,4,57
216,MC25_216,dre_10_5,RD_10_5,dre,10_5,7/26/25,7,4,57
1,MC25_1,dre_10_7,RD_10_7,dre,10_7,7/28/25,7,5,71
2,MC25_2,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
3,MC25_3,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,6,75
4,MC25_4,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,8,89
5,MC25_5,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,6,75
6,MC25_6,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,6,75
7,MC25_7,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,5,71
8,MC25_8,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,7,5,71
9,MC25_9,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,10,7,70
10,MC25_10,dre_10_6,RD_10_6,dre,10_6,7/28/25,10,8,80
11,MC25_11,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,6,67
12,MC25_12,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,5,4,80
13,MC25_13,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,7,88
14,MC25_14,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,6,75
15,MC25_15,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,6,75
16,MC25_16,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,5,56
17,MC25_17,dre_10_5,RD_10_5,dre,10_5,7/28/25,7,6,86
18,MC25_18,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,7,78
19,MC25_19,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,7,78
20,MC25_20,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
21,MC25_21,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,7,6,86
22,MC25_22,dre_10_7,RD_10_7,dre,10_7,7/28/25,9,8,89
23,MC25_23,dre_10_7,RD_10_7,dre,10_7,7/28/25,10,8,80
24,MC25_24,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,5,5,100
25,MC25_25,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,6,5,83
26,MC25_26,dre_10_6,RD_10_6,dre,10_6,7/28/25,7,7,100
27,MC25_27,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,7,88
28,MC25_28,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,5,63
29,MC25_29,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
30,MC25_30,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,7,88
31,MC25_31,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,7,88
32,MC25_32,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,6,67
33,MC25_33,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
34,MC25_34,dre_10_7,RD_10_7,dre,10_7,7/28/25,9,7,78
35,MC25_35,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,6,67
36,MC25_36,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
37,MC25_37,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,6,86
38,MC25_38,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,7,88
39,MC25_39,dre_10_6,RD_10_6,dre,10_6,7/28/25,4,4,100
40,MC25_40,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,7,78
41,MC25_41,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,10,4,40
42,MC25_42,dre_10_7,RD_10_7,dre,10_7,7/28/25,6,5,83
43,MC25_43,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,8,89
44,MC25_44,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,6,67
45,MC25_45,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,2,22
46,MC25_46,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
47,MC25_47,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,5,63
48,MC25_48,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,10,7,70
49,MC25_49,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,6,75
50,MC25_50,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
51,MC25_51,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,6,86
52,MC25_52,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,7,88
53,MC25_53,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
54,MC25_54,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
55,MC25_55,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,4,50
56,MC25_56,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
57,MC25_57,dre_10_5,RD_10_5,dre,10_5,7/28/25,11,6,55
58,MC25_58,dre_10_7,RD_10_7,dre,10_7,7/28/25,7,6,86
59,MC25_59,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,6,75
60,MC25_60,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,10,9,90
61,MC25_61,dre_10_5,RD_10_5,dre,10_5,7/28/25,11,8,73
62,MC25_62,dre_10_5,RD_10_5,dre,10_5,7/28/25,7,6,86
63,MC25_63,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,6,75
64,MC25_64,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,2,25
65,MC25_65,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,7,5,71
66,MC25_66,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,6,5,83
68,MC25_68,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,5,56
69,MC25_69,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
70,MC25_70,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,6,75
71,MC25_71,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,6,75
72,MC25_72,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,9,6,67
73,MC25_73,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,7,88
74,MC25_74,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,5,56
75,MC25_75,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,8,100
76,MC25_76,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
77,MC25_77,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
78,MC25_78,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,6,67
79,MC25_79,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,7,88
80,MC25_80,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,6,75
81,MC25_81,dre_10_6,RD_10_6,dre,10_6,7/28/25,10,7,70
82,MC25_82,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,6,67
83,MC25_83,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,6,86
84,MC25_84,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,3,33
85,MC25_85,dre_10_7,RD_10_7,dre,10_7,7/28/25,9,7,78
86,MC25_86,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,5,63
87,MC25_87,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,7,6,86
88,MC25_88,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
89,MC25_89,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,10,6,60
90,MC25_90,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,8,89
91,MC25_91,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,6,75
92,MC25_92,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,5,56
93,MC25_93,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
94,MC25_94,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,7,5,71
95,MC25_95,dre_10_5,RD_10_5,dre,10_5,7/28/25,10,5,50
96,MC25_96,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,8,89
97,MC25_97,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,8,100
98,MC25_98,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,8,89
100,MC25_100,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,3,38
101,MC25_101,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,6,75
102,MC25_102,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,6,75
103,MC25_103,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
104,MC25_104,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,5,56
105,MC25_105,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,6,5,83
106,MC25_106,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
107,MC25_107,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
108,MC25_108,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,7,6,86
109,MC25_109,dre_10_7,RD_10_7,dre,10_7,7/28/25,9,2,22
110,MC25_110,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,8,89
111,MC25_111,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,7,7,100
112,MC25_112,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,8,89
113,MC25_113,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,7,88
114,MC25_114,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,2,25
115,MC25_115,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,10,7,70
116,MC25_116,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,7,5,71
117,MC25_117,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,8,100
118,MC25_118,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,9,7,78
119,MC25_119,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
120,MC25_120,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,5,63
121,MC25_121,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
122,MC25_122,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,6,75
123,MC25_123,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,4,50
124,MC25_124,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,13,8,62
125,MC25_125,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,5,63
126,MC25_126,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
127,MC25_127,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,7,78
128,MC25_128,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,7,78
129,MC25_129,dre_10_6,RD_10_6,dre,10_6,7/28/25,7,5,71
130,MC25_130,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,8,6,75
131,MC25_131,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,4,4,100
132,MC25_132,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,7,6,86
133,MC25_133,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,7,6,86
134,MC25_134,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
135,MC25_135,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,6,67
136,MC25_136,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,7,3,43
137,MC25_137,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,7,78
138,MC25_138,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,8,89
139,MC25_139,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,7,88
140,MC25_140,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,7,88
141,MC25_141,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,10,7,70
142,MC25_142,dre_10_5,RD_10_5,dre,10_5,7/28/25,10,3,30
143,MC25_143,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
144,MC25_144,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,7,78
145,MC25_145,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,7,88
146,MC25_146,dipmod_10_6,SPD_10_6,dipmod,10_6,7/28/25,9,5,56
147,MC25_147,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,8,89
148,MC25_148,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,6,5,83
149,MC25_149,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,6,75
150,MC25_150,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,4,50
151,MC25_151,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,6,67
152,MC25_152,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,7,7,100
153,MC25_153,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,6,67
154,MC25_154,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,7,88
155,MC25_155,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,6,5,83
156,MC25_156,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,5,63
157,MC25_157,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,7,88
158,MC25_158,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,7,78
159,MC25_159,dre_10_7,RD_10_7,dre,10_7,7/28/25,7,5,71
160,MC25_160,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
161,MC25_161,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,9,6,67
162,MC25_162,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,2,22
163,MC25_163,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
164,MC25_164,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,3,33
165,MC25_165,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,8,6,75
166,MC25_166,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,7,7,100
167,MC25_167,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,8,2,25
168,MC25_168,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,4,50
169,MC25_169,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,3,33
170,MC25_170,dre_10_5,RD_10_5,dre,10_5,7/28/25,11,4,36
171,MC25_171,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,5,56
172,MC25_172,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,10,7,70
173,MC25_173,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
174,MC25_174,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
175,MC25_175,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,7,6,86
176,MC25_176,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,7,88
177,MC25_177,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,9,7,78
178,MC25_178,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,6,75
179,MC25_179,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,5,56
180,MC25_180,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,5,63
181,MC25_181,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,5,71
182,MC25_182,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,6,75
183,MC25_183,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,4,44
184,MC25_184,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,2,22
185,MC25_185,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,5,63
186,MC25_186,dre_10_5,RD_10_5,dre,10_5,7/28/25,9,6,67
187,MC25_187,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,7,78
188,MC25_188,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,7,78
189,MC25_189,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,7,6,86
190,MC25_190,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,7,88
191,MC25_191,dre_10_7,RD_10_7,dre,10_7,7/28/25,10,7,70
192,MC25_192,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,9,7,78
193,MC25_193,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,6,67
194,MC25_194,dip_original_10_6,ORD_10_6,dip_original,10_6,7/28/25,10,7,70
195,MC25_195,dre_10_6,RD_10_6,dre,10_6,7/28/25,9,7,78
196,MC25_196,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,2,22
197,MC25_197,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,9,6,67
198,MC25_198,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,8,7,88
199,MC25_199,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,3,38
200,MC25_200,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,6,75
201,MC25_201,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,10,7,70
202,MC25_202,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,7,2,29
203,MC25_203,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,4,50
204,MC25_204,dip_original_10_5,ORD_10_5,dip_original,10_5,7/28/25,8,6,75
205,MC25_205,dre_10_7,RD_10_7,dre,10_7,7/28/25,8,6,75
206,MC25_206,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,7,5,71
207,MC25_207,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,2,25
208,MC25_208,dre_10_6,RD_10_6,dre,10_6,7/28/25,8,6,75
209,MC25_209,dre_10_7,RD_10_7,dre,10_7,7/28/25,7,6,86
210,MC25_210,dipmod_10_5,SPD_10_5,dipmod,10_5,7/28/25,9,2,22
211,MC25_211,dip_original_10_7,ORD_10_7,dip_original,10_7,7/28/25,5,3,60
212,MC25_212,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,9,7,78
213,MC25_213,dre_10_5,RD_10_5,dre,10_5,7/28/25,7,6,86
214,MC25_214,dipmod_10_7,SPD_10_7,dipmod,10_7,7/28/25,8,5,63
215,MC25_215,dre_10_5,RD_10_5,dre,10_5,7/28/25,8,6,75
216,MC25_216,dre_10_5,RD_10_5,dre,10_5,7/28/25,7,4,57
